Team,Gold Actual,Gold Predicted,Silver Actual,Silver Predicted,Bronze Actual,Bronze Predicted,All Medals Actual,All Medals Predicted,Gold + Silver + Bronze
USA,46,43,37,34,38,32,121,110,111
Russia,19,25,17,20,20,19,56,64,65
Germany,17,20,10,19,15,22,42,61,58
UK,27,11,23,12,17,13,67,36,35
France,10,12,18,13,14,15,42,39,38
Italy,8,11,12,9,8,10,28,30,29
China,26,20,18,15,26,16,70,51,50
Australia,8,14,11,15,10,16,29,45,44
Sweden,2,5,6,6,3,6,11,17,17
Hungary,8,5,3,5,4,5,15,16,15
Japan,12,10,8,10,21,11,41,31,30
Finland,0,1,0,1,1,2,1,5,3
Canada,4,7,3,8,15,9,22,24,23
Romania,1,4,1,4,2,5,4,13,12
Netherlands,8,6,7,6,4,7,19,20,18
Poland,2,5,3,6,6,8,11,19,17
South Korea,9,5,3,6,9,5,21,16,17
Bulgaria,0,0,1,2,2,1,3,2,4
Cuba,5,2,2,2,4,2,11,7,6
Denmark,2,2,6,4,7,3,15,9,10
Switzerland,3,2,2,3,2,2,7,7,8
Czech Republic,1,0,2,0,7,1,10,1,0
Belgium,2,1,2,1,2,2,6,4,3
Norway,0,1,0,1,4,1,4,2,3
Greece,3,0,1,1,2,1,6,3,2
Spain,7,7,4,8,6,7,17,21,23
Brazil,7,18,6,14,6,14,19,46,46
Ukraine,2,5,5,6,4,8,11,19,17
New Zealand,4,6,9,5,5,6,18,17,16
Austria,0,-1,0,0,1,-1,1,-3,-1
Serbia,2,1,4,2,2,2,8,5,5
Kenya,6,3,6,4,1,4,13,11,11
Turkey,1,1,3,0,4,1,8,2,1
South Africa,2,4,6,5,2,5,10,14,14
Belarus,1,1,4,4,4,6,9,10,9
Jamaica,6,1,3,3,2,3,11,7,7
Argentina,3,5,1,6,0,5,4,16,17
Kazakhstan,3,2,5,2,10,2,18,7,6
Iran,3,1,1,1,4,1,8,3,3
Mexico,0,0,3,1,2,0,5,1,2
North Korea,2,1,3,1,2,1,7,3,3
Ethiopia,1,1,2,2,5,2,8,5,5
Azerbaijan,1,1,7,0,10,1,18,2,1
Estonia,0,1,0,1,1,1,1,3,3
Uzbekistan,4,1,2,1,7,1,13,3,3
Ireland,0,1,2,1,0,1,2,2,3
Croatia,5,1,3,1,2,1,10,2,3
Georgia,2,1,1,2,4,3,7,5,5
Thailand,2,0,2,0,2,0,6,0,0
Indonesia,1,1,2,1,0,1,3,3,3
